Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
Pushout: The Criminalization of Black Girls in Schools,1616,"Morris, Monique W.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.35,6177.0
Putting Makeup on the Fat Boy,2512,"Wright, Bil",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.44,1016.0
"Queer, There and Everywhere: 23 People Who Changed the World",1889,"Prager, Sarah",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,4.13,3138.0
"Queer, There and Everywhere: 23 People Who Changed the World",1890,"Prager, Sarah",Banned Pending Investigation,nan,nan,nan,Tennessee,Hamilton County Schools,October 2021,Administrator,4.13,3138.0
"Queer, There and Everywhere: 23 People Who Changed the World",1891,"Prager, Sarah",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.13,3138.0
Queer: The Ultimate LGBTQ Guide for Teens,199,"Belge, Kathy",Banned in Libraries,"Bieschke, Marke","Robinson, Christopher",nan,Florida,St. Johns County School District,May 2022,Formal Challenge,3.79,811.0
Queer: The Ultimate LGBTQ Guide for Teens,200,"Belge, Kathy",Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",nan,Tennessee,Collierville Schools,February 2022,Administrator,3.79,811.0
Queer: The Ultimate LGBTQ Guide for Teens,201,"Belge, Kathy",Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",nan,Wisconsin,Elmbrook Schools,July 2021,Administrator,3.79,811.0
Queer: The Ultimate LGBTQ Guide for Teens,202,"Belge, Kathy",Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",nan,Wisconsin,School District of Waukesha,December 2021,Administrator,3.79,811.0
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,2245,"Steptoe, Javaka",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.95,5639.0
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,2246,"Steptoe, Javaka",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.95,5639.0
Rage: A Love Story,1840,"Peters, Julie Anne",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.63,3388.0
Rage: A Love Story,1841,"Peters, Julie Anne",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.63,3388.0
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,1892,"Prager, Sarah",Banned in Classrooms,nan,"Papworth, Sarah",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.24,374.0
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,1893,"Prager, Sarah",Banned Pending Investigation,nan,"Papworth, Sarah",nan,Texas,North East Independent School District,December 2021,Administrator,4.24,374.0
"Rainbow Revolutions: Power, Pride and Protest in the Fight for Queer Rights",1318,"Lawson, Jamie",Banned Pending Investigation,nan,"Knight, Eve Lloyd",nan,Texas,North East Independent School District,December 2021,Administrator,4.53,122.0
Raise the Stakes,152,"Atwood, Megan",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.79,553.0
Ramadan Around The World,882,"Hassan, Ndaa",Banned in Classrooms,nan,"Momin, Azra",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.64,22.0
Ramona Blue,1663,"Murphy, Julie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.91,12159.0
Rap a Tap Tap: Here's Bojangles - Think of That!,532,"Dillon, Leo",Banned in Classrooms,nan,"Dillon, Diane",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.0,761.0
Rape On Campus,1345,"Leone, Bruno",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.0,3.0
Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,877,"Hartzler, Aaron",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.94,3175.0
Read the World: Rethinking Literacy for Empathy and Action in a Digital Age,2528,"Ziemke, Kristin",Banned in Classrooms,"Muhtaris, Katie",nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.31,54.0
"Ready or Not?: A Girl's Guide to Making Her Own Decisions about Dating, Love, and Sex",1903,"Radziszewicz, Tina",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.33,9.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1383,"lockhart, e",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,3.97,5956.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1387,"Lockhart, E.",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.97,5956.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1388,"Lockhart, E.",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,3.97,5956.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1389,"Lockhart, E.",Banned Pending Investigation,nan,nan,nan,Florida,St. Lucie Public Schools,February 2022,Formal Challenge,3.97,5956.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1390,"Lockhart, E.",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.97,5956.0
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",1391,"Lockhart, E.",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.97,5956.0
Red Hood,116,"Arnold, Elana K.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,3.48,20280.0
"Red Kite, Blue Kite",1059,"Jiang, Ji-li",Banned in Classrooms,nan,"Ruth, Greg",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.17,474.0
Red at the Bone,2502,"Woodson, Jacqueline",Banned in Classrooms,nan,nan,nan,Texas,Leander Independent School District,September 2021,Administrator,3.97,78445.0
Red at the Bone,2503,"Woodson, Jacqueline",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.97,78445.0
Redeemed (House of Night Series),358,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.0,28335.0
Redwood and Ponytail,917,"Holt, K. A.",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.19,2681.0
Refugee,816,"Gratz, Alan",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.87,67872.0
Refugee,817,"Gratz, Alan",Banned Pending Investigation,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,3.87,67872.0
Remake (Remake Series),2366,"Todd, Ilima",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.59,269.0
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",1420,"Lumumba, Chokwe",Banned in Classrooms,"Obadele, Imari Abubakari; Taifa, Nkechi",nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.0,1.0
Rethinking Normal: A Memoir in Transition,902,"Hill, Katie Rain",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.79,1206.0
Revealed (House of Night Series),359,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,31.0
Reverie,1298,"La Sala, Ryan",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.44,12269.0
Rick,767,"Gino, Alex",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Hernando School District,November 2021,Administrator,4.31,3025269.0
Rick,768,"Gino, Alex",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.31,3025269.0
Rift (Nightshade Prequel Series),466,"Cremer, Andrea",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.13,8763.0
Rise to the Sun,1105,"Johnson, Leah",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.62,3154.0
Rising Out,155,"Azmitia, M.",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.42,9941.0
Roberto Clemente: Pride of the Pittsburgh Pirates,2487,"Winter, Jonah",Banned Pending Investigation,nan,"Colón, Raúl",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.23,294.0
Roe v. Wade: A Woman's Choice?,787,"Gold, Susan Dudley",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.25,4.0
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,668,"Faux, Marian",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,December 2021,Administrator,4.04,71.0
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,669,"Faux, Marian",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.04,71.0
Romiette and Julio,572,"Draper, Sharon M.",Banned in Libraries,nan,nan,nan,Florida,Lee County Schools,May 2022,Administrator,3.93,6290.0
Rosa Parks,836,"Greenfield, Eloise",Banned Pending Investigation,nan,"Ashby, Gil",nan,Florida,Volusia County Schools,September 2021,Administrator,4.47,3472.0
Running the Road to ABC,1316,"Lauture, Denize",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.48,84.0
SELF-ish: A Transgender Awakening,2096,"Schwenke, Chloe",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.73,60.0
SEX: If You're Scared of The Truth Don't Read This!,2206,"Sommer, Carl",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,1.0,4.0
SEX: If You're Scared of The Truth Don't Read This!,2207,"Sommer, Carl",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,1.0,4.0
Sadako,411,"Coerr, Eleanor",Banned Pending Investigation,nan,"Young, Ed",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.12,26829.0
Safe,2131,"Shaw, Susan",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.22,383030.0
Safe Sex 101: An Overview for Teens,1015,"Hyde, Margaret O.",Banned Pending Investigation,"Forsyth, Elizabeth H.",nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.75,8.0
Safe Sex 101: An Overview for Teens,1016,"Hyde, Margaret O.",Banned in Libraries,"Forsyth, Elizabeth H.",nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.75,8.0
"Saga, Volume 1 (Saga Series)",2400,"Vaughan, Brian K.",Banned in Libraries,nan,"Staples, Fiona",nan,Illinois,Lake Forest Schools,December 2021,Formal Challenge,3.43,14.0
Saints of Augustine,2025,"Ryan, P. E.",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.96,63802.0
Sally and The Magical Sneeze,2311,"Taylor, Simon",Banned Pending Investigation,nan,"Lester, A. D.",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.4,15.0
Sam and the Lucky Money,384,"Chinn, Karen",Banned Pending Investigation,nan,"Hu, Ying-Hwa; Van Wright, Cornelius",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.08,400.0
Sam!,719,"Gabriel, Dani",Banned Pending Investigation,nan,"Liu-Trujillo, Robert",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.63,131188.0
"Same, Same But Different",1277,"Kostecki-Shaw, Jenny Sue",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.29,2005.0
Sasha Masha,256,"Borinsky, Agnes",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.84,1229.0
Satanism (At Issue),1986,"Roleff, Tamara L.",Banned Pending Investigation,nan,nan,nan,Kansas,Goddard Public Schools,November 2021,Administrator,3.29,7.0
Saturday,1607,"Mora, Oge",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.64,70297.0
Saturdays with Hitchcock,2491,"Wittlinger, Ellen",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.82,159.0
Saving Ruby King,2455,"West, Catherine Adel",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.91,5566.0
Say Her Name,603,"Elliott, Zetta",Banned Pending Investigation,nan,"Wise, Loveis",nan,Tennessee,Collierville Schools,February 2022,Administrator,4.03,12066.0
Say Something,1944,"Reynolds, Peter H.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.47,1967.0
Say the Word,736,"Garsee, Jeannine",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.03,4920.0
Scars,1904,"Rainfield, Cheryl",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.16,201926.0
Scary Stories to Tell in the Dark,2094,"Schwartz, Alvin",Banned Pending Investigation,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.05,67803.0
See You at Harry's,1222,"Knowles, Jo",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.13,13574.0
Seedfolks,680,"Fleischman, Paul",Banned in Libraries,nan,"Pedersen, Judy",nan,Texas,Birdville Independent School District,October 2021,Formal Challenge,3.75,16038.0
Seeing Gender: An Illustrated Guide to Identity and Expression,810,"Gottlieb, Iris",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.3,927.0
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,2369,"Tonatiuh, Duncan",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.4,6108.0
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,2370,"Tonatiuh, Duncan",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.4,6108.0
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,2371,"Tonatiuh, Duncan",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.4,6108.0
Sex & Violence,1561,"Mesrobian, Carrie",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,4.17,41778.0
"Sex Plus: Learning, Loving, and Enjoying Your Body",835,"Green, Laci",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.16,254.0
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",2160,"Silverberg, Cory",Banned Pending Investigation,nan,"Smyth, Fiona",nan,Florida,Walton County School District,April 2022,Administrator,4.47,1641.0
